country,population,GDPperCapita,netFootprint,Area Abbreviation,continent,totalProduction,totalGHG,HDI2015,binomFootprint,transFootprint
Afghanistan,29.82,61466,-0.3,AFG,AS,23003,30.7589,0.479,0,2.6878474937846906
Albania,3.16,453437,-1.03,ALB,EU,8271,7.2191,0.764,0,2.6369121732688705
Algeria,38.48,543057,-1.53,DZA,AF,72117,189.0811,0.745,0,2.6004649904222727
Angola,20.82,466591,1.61,AGO,AF,48629,199.7219,0.533,1,2.8100049236252036
Antigua,0.09,1320510,-4.44,ATG,"NA",119,1.1365,0.786,0,2.3570732782781154
Argentina,41.09,1354e3,3.78,ARG,SA,80843,405.0348,0.827,1,2.932792473780117
Armenia,2.97,342639,-1.35,ARM,EA,7175,9.3041,0.743,0,2.613739521630969
Australia,23.05,6660420,7.26,AUS,OC,62430,685.0529,0.939,1,3.1027913458473986
Austria,8.46,5127410,-3,AUT,EU,24990,83.6544,0.893,0,2.4849066497880004
Azerbaijan,9.31,710604,-1.46,AZE,EA,20156,69.3374,0.759,0,2.605648267484129
Bahamas,0.37,2264730,2.71,AZE,EA,627,4.1728,0.792,1,2.8741294517947424
Bangladesh,154.7,85750,-0.35,BGD,AS,120844,189.8558,0.579,0,2.6844403354630764
Barbados,0.28,1572280,-4.29,BRB,"NA",469,3.3496,0.795,0,2.3711778844596574
Belarus,9.4,630045,-1.45,BLR,EU,37852,75.349,0.796,0,2.60638654732571
Belgium,11.06,4805330,-6.25,BEL,EU,33336,125.1085,0.896,0,2.169053700369523
Benin,10.05,74683,-0.53,BEN,AF,16479,21.7551,0.485,0,2.6720775406433925
Bolivia,10.5,225309,13.77,BOL,SA,13509,136.4737,0.674,1,3.3593331775634567
Bosnia and Herzegovina,3.83,470885,-1.49,BIH,EU,8454,27.7526,0.75,0,2.6034301519721073
Botswana,2,774350,-0.35,BWA,AF,2272,23.9026,0.698,0,2.6844403354630764
Brazil,198.66,1323760,5.97,BRA,SA,439967,1823.1483,0.754,1,3.0430928449138284
Brunei,0.41,4709740,-1.19,BRN,AS,547,22.0675,0.865,0,2.6253929674212007
Bulgaria,7.28,761528,-0.46,BGR,EU,12333,46.2247,0.794,0,2.6769034721053733
Burkina Faso,16.46,67107,-0.22,BFA,AF,18978,33.0099,0.402,0,2.6932749155200555
Cape Verde,0.49,380145,-1.9,CPV,AF,719,0.4302,0.648,0,2.5726122302071057
Cambodia,14.86,87764,-0.11,KHM,AS,13631,49.1161,0.563,0,2.7006898466959175
Cameroon,21.7,127121,0.52,CMR,AF,34844,191.1992,0.518,1,2.7421295147550726
Canada,34.84,5214540,7.83,CAN,"NA",120117,856.2776,0.92,1,3.1280754605417043
Central African Republic,4.53,49504,6.62,CAF,AF,4187,60.5178,0.352,1,3.073618812211062
Chad,12.45,116122,0.57,TCD,AF,8401,43.2682,0.396,1,2.745345985845907
Chile,17.46,1452580,-0.73,CHL,SA,32900,93.7386,0.847,0,2.658159431488745
China,1408.04,556094,-2.44,CHN,AS,3203404,10684.2866,0.738,0,2.5305171610400525
Colombia,47.7,730522,1.72,COL,SA,76828,199.6809,0.727,1,2.8166056076565553
Democratic Republic of the Congo,65.7,33863,2.25,COD,AF,5196,201.5297,0.435,1,2.847812143477369
Costa Rica,4.8,897996,-1.31,CRI,"NA",8261,4.9727,0.776,0,2.6166656393003573
Ivory Coast,19.84,101683,0.51,CIV,AF,28157,35.7764,0.474,1,2.7414849771884473
Croatia,4.31,1452280,-1.12,HRV,EU,11467,11.754,0.827,0,2.6304489550786583
Cuba,11.27,517594,-1.19,CUB,"NA",26974,34.7923,0.775,0,2.6253929674212007
Cyprus,1.13,3145470,-3.87,CYP,EA,2241,7.223,0.856,0,2.409644165287453
Czech Republic,10.66,2167630,-2.73,CZE,EU,23962,115.3366,0.878,0,2.50715725872282
Denmark,5.6,6141360,-0.73,DNK,EU,27260,52.3332,0.925,0,2.658159431488745
Djibouti,0.86,143317,-1.42,DJI,AF,791,2.5752,0.473,0,2.60859812213055
Dominica,0.07,708801,-1.54,DMA,"NA",179,0.3187,0.726,0,2.599722324216582
Dominican Republic,10.28,608589,-0.97,DOM,"NA",16859,31.1844,0.722,0,2.6411978941143697
Ecuador,15.49,519288,0.03,ECU,SA,19538,138.1583,0.739,1,2.710048203764883
Egypt,80.72,293033,-1.59,EGY,AF,162054,287.9734,0.691,0,2.596000697293587
El Salvador,6.3,369633,-1.46,SLV,"NA",8347,13.0686,0.68,0,2.605648267484129
Estonia,1.29,1730440,3.67,EST,EU,3864,29.8563,0.865,1,2.9269179575536315
Ethiopia,91.73,37938,-0.44,ETH,AF,68090,143.8746,0.448,0,2.67827804276854
Fiji,0.88,420137,-0.52,FJI,OC,1246,1.7266,0.736,0,2.6727683869575705
Finland,5.41,5096020,7.57,FIN,EU,16167,69.3612,0.895,1,3.1166215908294443
France,63.98,4543030,-2.04,FRA,EU,166079,432.3959,0.897,0,2.561867690924129
Gabon,1.63,1198900,24.29,GAB,AF,3033,6.9548,0.697,1,3.6709700335703683
Georgia,4.36,371070,-0.41,GEO,EA,6536,10.7823,0.769,0,2.6803363625346943
Germany,82.8,4682240,-3.02,DEU,EU,218891,810.2499,0.926,0,2.4832385926873033
Ghana,25.37,162790,-0.62,GHA,AF,54723,58.8411,0.579,0,2.6658383522929006
Greece,11.12,2598740,-2.77,GRC,EU,32706,98.3051,0.866,0,2.503891949699081
